phase_id,track_id,artifact_group,artifact_type,relative_path,exists,source_manifest,notes
phase1,phase1_regional_baseline,phase1_audit,phase1_final_verdict.md,output/phase1_finalization_audit/phase1_final_verdict.md,True,,Read-only Phase 1 audit artifact.
phase1,phase1_regional_baseline,phase1_audit,phase1_finalization_memo.md,output/phase1_finalization_audit/phase1_finalization_memo.md,True,,Read-only Phase 1 audit artifact.
phase1,phase1_regional_baseline,phase1_audit,phase1_finalization_status.csv,output/phase1_finalization_audit/phase1_finalization_status.csv,True,,Read-only Phase 1 audit artifact.
phase1,phase1_regional_baseline,phase1_audit,phase1_finalization_status.json,output/phase1_finalization_audit/phase1_finalization_status.json,True,,Read-only Phase 1 audit artifact.
phase2,phase2_machine_readable_forecast,phase2_audit,phase2_final_verdict.md,output/phase2_finalization_audit/phase2_final_verdict.md,True,,Read-only Phase 2 audit artifact.
phase2,phase2_machine_readable_forecast,phase2_audit,phase2_finalization_memo.md,output/phase2_finalization_audit/phase2_finalization_memo.md,True,,Read-only Phase 2 audit artifact.
phase2,phase2_machine_readable_forecast,phase2_audit,phase2_finalization_status.csv,output/phase2_finalization_audit/phase2_finalization_status.csv,True,,Read-only Phase 2 audit artifact.
phase2,phase2_machine_readable_forecast,phase2_audit,phase2_finalization_status.json,output/phase2_finalization_audit/phase2_finalization_status.json,True,,Read-only Phase 2 audit artifact.
phase2,phase2_machine_readable_forecast,phase2_audit,phase2_output_catalog.csv,output/phase2_finalization_audit/phase2_output_catalog.csv,True,,Read-only Phase 2 audit artifact.
phase3,supporting_input,scientific_input_reuse,dwh_scientific_forcing_status.csv,output/CASE_DWH_RETRO_2010_72H/dwh_phase3c_scientific_forcing_ready/dwh_scientific_forcing_status.csv,True,output/final_validation_package/final_validation_manifest.json,Scientific input preserved and reused by the final validation package.
phase3,supporting_input,scientific_input_reuse,external_case_service_inventory.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/external_case_service_inventory.csv,True,output/final_validation_package/final_validation_manifest.json,Scientific input preserved and reused by the final validation package.
phase3,supporting_input,scientific_input_reuse,external_case_source_taxonomy.csv,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/external_case_source_taxonomy.csv,True,output/final_validation_package/final_validation_manifest.json,Scientific input preserved and reused by the final validation package.
phase3,supporting_input,scientific_input_reuse,init_mode_sensitivity_r1_run_manifest.json,output/CASE_MINDORO_RETRO_2023/init_mode_sensitivity_r1/init_mode_sensitivity_r1_run_manifest.json,True,output/final_validation_package/final_validation_manifest.json,Scientific input preserved and reused by the final validation package.
phase3,supporting_input,scientific_input_reuse,phase3c_external_case_setup_manifest.json,output/CASE_DWH_RETRO_2010_72H/phase3c_external_case_setup/phase3c_external_case_setup_manifest.json,True,output/final_validation_package/final_validation_manifest.json,Scientific input preserved and reused by the final validation package.
phase3,supporting_input,scientific_input_reuse,recipe_sensitivity_r1_multibranch_ranking.csv,output/CASE_MINDORO_RETRO_2023/recipe_sensitivity_r1_multibranch/recipe_sensitivity_r1_multibranch_ranking.csv,True,output/final_validation_package/final_validation_manifest.json,Scientific input preserved and reused by the final validation package.
phase3,supporting_input,scientific_input_reuse,recipe_sensitivity_r1_multibranch_run_manifest.json,output/CASE_MINDORO_RETRO_2023/recipe_sensitivity_r1_multibranch/recipe_sensitivity_r1_multibranch_run_manifest.json,True,output/final_validation_package/final_validation_manifest.json,Scientific input preserved and reused by the final validation package.
phase3,supporting_input,scientific_input_reuse,source_history_reconstruction_r1_run_manifest.json,output/CASE_MINDORO_RETRO_2023/source_history_reconstruction_r1/source_history_reconstruction_r1_run_manifest.json,True,output/final_validation_package/final_validation_manifest.json,Scientific input preserved and reused by the final validation package.
phase3,supporting_input,scientific_input_reuse,source_history_reconstruction_r1_summary.csv,output/CASE_MINDORO_RETRO_2023/source_history_reconstruction_r1/source_history_reconstruction_r1_summary.csv,True,output/final_validation_package/final_validation_manifest.json,Scientific input preserved and reused by the final validation package.
phase3a,A,scientific_input_reuse,pygnome_public_comparison_eventcorridor_summary.csv,output/CASE_MINDORO_RETRO_2023/pygnome_public_comparison/pygnome_public_comparison_eventcorridor_summary.csv,True,output/final_validation_package/final_validation_manifest.json,Scientific input preserved and reused by the final validation package.
